Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Excellent  stay!,Beautiful  hotel  with excellent  service. The roof top pool was amazing. Food  was very good. Staff  were very attentive.  Rooms  spacious  and clean . Room upgraded  courtesy  of the GM for  my birthday.😊 Will  recommend  and will  definitely  stay again.,June 2023,Traveled with family,,wrote a review Jun 2023,,['3 contributions'],50,"['Value bubble_40', 'Location bubble_40', 'Service bubble_50']"
The best hotel in Nigeria,"I had the pleasure of staying at the Art Hotel during my recent visit to Lagos. First, the hotel is very aesthetically pleasing with tasteful designs, artwork and well thought out modern accommodations. The location was aptly secured and gated and in a very good area with proximity to shopping, the beach and museums.   My hotel room was equipped with everything I needed, very spacious and cozy with a nice comfortable king sized bed. Although there were many places to eat outside of the hotel, I elected to dine at their restaraunt on site, Mist. The food was outstanding with a variety of cuisines to select and breakfast was no exception.   Last, what I appreciated the most, was the kind and knowledgable staff. They went exceedingly above and beyond to make you feel welcome and",June 2023,Traveled with friends,Visit the rooftop! Such a beautiful view!,wrote a review Jun 2023,"Atlanta, Georgia",['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
