Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
A quiet place within Victoria Island,"Fryburgh is a small hotel, it looks like a residential house converted to a hotel. It is a small place with little or few amenities. The room is not that big but moderate, the furnitures are old but maintained. The hotel is situated in a serene environment within Victoria Island. The staff are very courteous, thanks to Roseline, the receptionist who helped to book a taxi for using her handset.",August 2023,Traveled on business,,wrote a review Aug 2023,Abuja,"['42 contributions', '35 helpful votes']",30,[]
Romantic evening,"We had a couples dinner in the cool and beautiful ambience of nature while afterwards the room was arranged like we were on honeymoon awaiting our entrance! Really courteous staff and well mannered, good chef as the food was superb!!!! Very nice place to visit in the heart of Victoria Island in Lagos!!!",February 2021,Traveled as a couple,,wrote a review Feb 2021,"Lekki, Nigeria","['20 contributions', '1 helpful vote']",50,[]
Miss Jane,It’s was great experience the serene environment Is what I appreciated . Friendly and professional staff . Their services is top notch . The meals are tasty i enjoyed my stay and will make sure I make it my home when ever am in town.,July 2020,Traveled on business,,wrote a review Jul 2020,,['7 contributions'],50,[]
Miss,Fryburg suites is a private environment. It’s neat and conducive. The open terrace can be used for parties and the food is excellent. It’s a place you won’t regret visiting. My friend’s proposal was amazing also😁,June 2020,Traveled solo,,wrote a review Jul 2020,,['2 contributions'],50,[]
NICE BOUTIQUE HOTEL,This hotel is a small boutique hotel with a very welcoming settings. The set up is very endearing and staff are well mannered. it feels like home away from home.oh! how can i forget to mention the 411 lounge situated with the hotel! World class set up and food.  I love it and will surely be back. I recommend this hotel for all travelers who desires comfort at a pocket friendly rate,June 2020,,,wrote a review Jul 2020,,['1 contribution'],50,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
